Code,Libellé,Synonymes,Couleur,Catégorie,Statut,Experimental,Commentaire,Délimitation Géographique
1341,MARSANNE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1583,SERVANT B,non,Blanc,Mixte,valide depuis le 01/01/1900,Non,délimitation départementale ajoutée,Oui
131,DALMASSO VI 6 B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1461,NEGRETTE N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1581,SEMILLON B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2791,LIVAL N,non,Noir,Cuve,supprimé depuis le 01/01/2016,Non,,Non
1459,MUSCAT CENDRE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1458,MUSCATEDDU,non,Rouge,Cuve,valide depuis le 30/08/2022,Oui,,Non
2305,MOURVEDRE N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
367,SANTA BARBARA RS,non,Rose,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1457,MUSCATS A PETITS GRAINS ROUGE RG,non,Rouge,Cuve,valide depuis le 01/01/1900,Non,,Non
2667,CRAVEIRO N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1699,SEMEBAT N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2425,SELECT B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1335,TOURBAT B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2303,MOURVAISON N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2787,DANLAS B,non,Blanc,Cuve,supprimé depuis le 01/01/2016,Non,,Non
1697,SEGALIN N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1455,MUSCAT OTTONEL B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2423,SAINT PIERRE DORE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2665,PANEA BIANCA B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1454,MELON ROUGE,non,Rouge,Cuve,valide depuis le 03/04/2020,Oui,,Non
245,CALABRE B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1575,GEWURZTRAMINER RS,non,Rose,Cuve,valide depuis le 01/01/1900,Non,,Non
0,CEPAGE NON RENSEIGNE,non,Indetermine,Interdit,supprimé depuis le 01/01/1900,Non,,Non
2421,SAINT MACAIRE N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1453,MUSCAT A PETITS GRAINS B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
363,SUAVIS B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2663,BLANQUEIRON B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1573,SAVAGNIN ROSE RS,non,Rose,Cuve,valide depuis le 01/01/1900,Non,,Non
2420,SAINT COME B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2683,CROUCHEN B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2441,TEINTURIER N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
141,FRANKENTHAL N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1231,GAMAY DE BOUZE N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1230,GAMAY TEINTURIER,non,Indetermine,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1351,MAUZAC B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1471,ONDENC B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1591,SYRAH N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2316,MUSCAT CENDRE B,non,Blanc,Cuve,supprimé depuis le 01/01/2016,Non,,Non
2437,SYLVANER B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2315,MUSCARDIN N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2677,COURBU NOIR N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1104,MONARCH,non,Noir,Cuve,valide depuis le 28/04/2017,Non,,Non
137,FOSTER'S W SEEDL B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2435,SERVANIN N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2313,MULLER THURGAU B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
135,DANUGUE N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
377,ARTURO MARESCAL.RG,non,Rouge,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1102,CABERNET CORTIS,non,Noir,Cuve,valide depuis le 28/04/2017,Non,,Non
2675,MECLE N,non,Noir,Cuve,supprimé depuis le 01/01/2016,Non,,Non
1101,CABERNET FRANC N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2795,RIBOL N,non,Noir,Cuve,supprimé depuis le 01/01/2016,Non,,Non
2674,MECLE N,non,Noir,Cuve,valide depuis le 01/01/2016,Non,,Non
2311,MOUYSSAGUES N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
375,DIAMANTE NERO N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2673,ONCHETTE N,non,Noir,Cuve,valide depuis le 28/04/2017,Non,,Non
1221,GAMAY N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2431,SCIACCARELLO N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2319,NEGRET DE BANHARS N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1000,DIVERS CUVE,non,Indetermine,Cuve,supprimé depuis le 01/01/2016,Non,,Non
1121,CALITOR BLANC B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2331,NOUAL B,non,Blanc,Cuve,valide depuis le 14/03/2018,Non,,Non
1241,GRAND NOIR DE  LA CALMETTE N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2451,TRESSALLIER,non,Indetermine,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1361,MERILLE N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2691,PETIT COURBU B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1481,PETIT BOUSCHET N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2327,NOIR HAT.MARSEIL N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1237,GANSON N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2447,TOUSTAIN N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1236,GAMINOT N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2325,NOIR FLEURIEN N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1235,GAMAY DE CHAUDENAY N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
145,GIBI B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1355,MAUZAC NOIR N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2323,NIELLUCCIO N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1233,GAMAY FREAUX N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2443,TEOULIER N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2685,TEMPRANILLO N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
143,EPARSE B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1112,CABESTREL N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2201,GOUGET N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1353,MAUZAC ROSE RS,non,Rose,Cuve,valide depuis le 01/01/1900,Non,,Non
1111,CABERNET SAUVIGNON N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1011,ABOURIOU N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
163,LUCIEN BALTET N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1253,GRENACHE GRIS G,non,Gris,Cuve,valide depuis le 01/01/1900,Non,,Non
2463,FURMINT B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1131,CARIGNAN BLANC B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1373,MERLOT N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1010,DIVERS CUVE N,non,Noir,Cuve,valide depuis le 01/01/2016,Non,,Non
2341,PARDOTTE N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
161,KHALILI B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1251,GRENACHE BLANC B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1371,MERLOT BLANC B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1491,PINEAU D'AUNIS N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1008,FIANO,non,Blanc,Cuve,valide depuis le 12/02/2021,Non,,Non
2337,PAGADEBITI B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2215,GROS BEC N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1005,DIVERS CUVE B,non,Blanc,Cuve,valide depuis le 01/01/2016,Non,,Non
1247,GRAMON N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2457,TROYEN N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1125,CALITOR NOIR N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1245,LLEDONER PELUT N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2213,GENOUILLET N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1123,CALITOR GRIS G,non,Gris,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2454,TROUSSEAU GRIS G,non,Gris,Cuve,valide depuis le 01/01/1900,Non,,Non
2333,OEILLADE BOUSCHE N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2453,TROUSSEAU N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
155,LIGNAN B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2211,GREC RS,non,Rose,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1009,MAVRUD,non,Noir,Cuve,valide depuis le 01/01/2016,Non,,Non
2353,PERSAN N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1022,REZE,non,Blanc,Cuve,valide depuis le 01/01/2016,Non,,Non
2111,CESAR N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1143,CHASAN B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1263,GROLLEAU GRIS G,non,Gris,Cuve,valide depuis le 01/01/1900,Non,,Non
2231,GUEUCHE N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1021,ROBIN NOIR,non,Noir,Cuve,valide depuis le 01/01/2016,Non,,Non
1141,CHARDONNAY B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2351,PELOURSIN N,non,Noir,Cuve,valide depuis le 12/02/2021,Non,,Non
1383,PETIT MESLIER B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1020,ALICANTE HENRI BOUSCHET,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2471,VERDESSE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1261,GROLLEAU N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1381,MESLIER SAINT-FRANCOIS B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2107,CEP ROUGE N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1018,SOUVIGNIER GRIS,non,Gris,Cuve,valide depuis le 28/04/2017,Non,,Non
1017,SOLARIS,non,Blanc,Cuve,valide depuis le 28/04/2017,Non,,Non
2105,CASTETS N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1016,PRIOR,non,Noir,Cuve,valide depuis le 28/04/2017,Non,,Non
2467,VERDELHO B,non,Blanc,Cuve,supprimé depuis le 01/01/2016,Non,,Non
1015,MUSCARIS,non,Blanc,Cuve,valide depuis le 28/04/2017,Non,,Non
2225,GLACIERE RG,non,Rouge,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1014,JOHANNITER,non,Blanc,Cuve,valide depuis le 28/04/2017,Non,,Non
2103,CARMENERE N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1135,CARIGNAN N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1255,GRENACHE N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1013,ALPHONS.LAVALLEE N,non,Noir,Cuve,supprimé depuis le 10/05/2017,Non,,Non
2465,VELTELINER ROUGE PRECOCE RS,non,Rose,Cuve,valide depuis le 01/01/1900,Non,,Non
2223,DOBRELABI N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1133,CARIGNAN GRIS G,non,Gris,Cuve,valide depuis le 08/12/2018,Non,,Non
2343,PASCAL B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2101,CARIGNAN BOUSCH N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2001,ABONDANT B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1153,CHASSEL.CIOUTAT B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2363,PICARDAN B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2121,CHATUS N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1031,ALIGOTE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1151,CHASSELAS B,non,Blanc,Mixte,valide depuis le 01/01/1900,Non,délimitation départementale ajoutée,Oui
2361,PEURION B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2240,INRA 83-81 N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1271,JACQUERE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1391,MEUNIER N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1028,BOUYSSELET B,non,Blanc,Cuve,valide depuis le 14/03/2018,Non,,Non
2117,CHAOUCH ROSE RS,non,Rose,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
3205,OEILLADE NOIRE,non,Noir,Cuve,valide depuis le 03/04/2020,Non,,Non
1027,CEPAGE EXPERIMENTAL,non,Noir,Cuve,valide depuis le 07/04/2017,Oui,,Non
2237,HIBOU N,non,Noir,Cuve,valide depuis le 12/02/2021,Non,,Non
1026,GLERA,non,Blanc,Cuve,valide depuis le 12/02/2021,Non,,Non
2477,MUSCATS A PETITS GRAINS ROSE.RS,non,Rose,Cuve,valide depuis le 01/01/1900,Non,,Non
3203,ROSSULA BIANCA,non,Blanc,Cuve,valide depuis le 18/01/2022,Non,,Non
3202,NEGRET POUNJUT,non,Noir,Cuve,valide depuis le 12/02/2021,Non,,Non
2355,RIBIER N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1265,GROS VERT B,non,Blanc,Mixte,valide depuis le 01/01/1900,Non,délimitation départementale ajoutée,Oui
2475,VERMENTINO B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2233,GUILLEMOT B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
3201,CUALTACCIU,non,Blanc,Cuve,valide depuis le 18/01/2022,Non,,Non
2253,LAUZET B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2011,ARGANT N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2131,CORBEAU N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2373,PLANT DROIT N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2010,VERDANEL B,non,Blanc,Cuve,valide depuis le 14/03/2018,Non,,Non
1042,CARRICANTE,non,Blanc,Cuve,valide depuis le 12/02/2021,Non,,Non
2251,LIMBERGER N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1041,ALTESSE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2371,COUSTON N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1161,CHENIN B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2370,PLANT DE BRUNEL N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2009,GRANITA N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1039,CHARDONNAY ROSE,non,Rose,Cuve,valide depuis le 03/04/2020,Oui,,Non
2007,ORBOIS B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2127,COLOMBAUD B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1159,CHENANSON N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2247,KNIPPERLE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1158,SERENEZE N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2005,ARBANE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2125,CLAVERIE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1157,CHASSEL.VIOLET RG,non,Rouge,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2003,ARAMON BOUSCHET N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2245,JOUBERTIN N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1277,PRIMITIVO N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1156,CHASSELAS NOIR,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1155,CHASSELAS ROSE RS,non,Rose,Mixte,valide depuis le 01/01/1900,Non,délimitation départementale ajoutée,Oui
1034,PETITE SAINTE MARIE,non,Blanc,Cuve,valide depuis le 12/02/2021,Non,,Non
2365,PICARLAT,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
5999,VARIETE DE CUVE ETRANGERE,non,Indetermine,Cuve,supprimé depuis le 01/01/2016,Non,,Non
1055,ARAMON N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2023,ASPIRAN GRIS G,non,Gris,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2385,PROVAREAU N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2143,DURAS N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
3110,MONTEPULCIANO,non,Noir,Cuve,valide depuis le 03/04/2020,Non,,Non
2263,LISTAN B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1053,ARAMON GRIS G,non,Gris,Cuve,valide depuis le 01/01/1900,Non,,Non
2021,ASPIRAN BOUSCHET N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2141,COURBU B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2383,PRECOCE BOUSQUET B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1051,ARAMON BLANC B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2261,LIGNAGE N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1171,CINSAUT N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2381,POUGNET N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1291,JURANCON BLANC B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
3108,CALABRESE N ,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2017,ASPIRAN BLANC B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
3105,DUNKELFELDER N,non,Noir,Cuve,supprimé depuis le 01/01/2016,Non,,Non
2137,COT DE CHERAGAS N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2015,ARRUFIAC B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2257,LEN DE L'EL B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2014,CHOUCHILLON,non,Blanc,Cuve,valide depuis le 28/04/2017,Non,,Non
2135,CORNICHON VIOLET N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2013,ARROUYA N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2255,LASCA N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2155,ENFARINE N,non,Noir,Cuve,valide depuis le 12/02/2021,Non,,Non
2397,RAUSCHLING B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
3002,AIREN B,non,Blanc,Cuve,valide depuis le 11/05/2017,Non,,Non
2033,BALZAC BLANC B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
3001,ASSYRTIKO,non,Blanc,Cuve,valide depuis le 28/04/2017,Non,,Non
2395,RAISAINE B,non,Blanc,Cuve,valide depuis le 08/12/2018,Non,,Non
2153,TORRONTES Riojano,non,Blanc,Cuve,valide depuis le 18/01/2022,Oui,,Non
1185,CLAIRETTE ROSE RS,non,Rose,Cuve,valide depuis le 01/01/1900,Non,,Non
2031,AUXERROIS B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2393,RAFFIAT DE MONCADE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2151,ELBLING B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
