Code,Libellé,Synonymes,Couleur,Catégorie,Statut,Experimental,Commentaire,Délimitation Géographique
2271,MANCIN N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1061,AUBUN N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2391,PUTZSCHEERE B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1181,CLAIRETTE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2027,AUBIN VERT B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2147,DURIF N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
3114,GALOTTA N,non,Noir,Cuve,supprimé depuis le 01/01/2016,Non,,Non
2025,AUBIN B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2387,PRUNELARD N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2145,DUREZA N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
6400,VIDAL DIVERS,non,Indetermine,Cuve,supprimé depuis le 01/01/1900,Non,,Non
2045,BIA B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2166,FERRADOU N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2287,MOLINERA GORDA RG,non,Rouge,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2165,FER N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2043,BEQUIGNOL N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2285,MOLETTE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2163,FARANAH B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
3010,BARBERA N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2041,BENICARLO N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2283,MILGRANET N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1193,COUNOISE N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2161,ETRAIRE DE LA DUI N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2281,MAROCAIN NOIR N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1071,BAROQUE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1191,COLOMBARD B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
3008,PARELLADA B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
3006,ALVARINHO N,non,Noir,Cuve,supprimé depuis le 01/01/1900,Non,,Non
2038,BECLAN N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
3005,ALICANTE BRANCO B,non,Blanc,Cuve,supprimé depuis le 01/01/1900,Non,,Non
2037,BECLAN (PETIT) N,non,Noir,Cuve,supprimé depuis le 01/01/2016,Non,,Non
2157,ESPANENC B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2036,BEAUGARAY N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2277,MANSONNET N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2035,BARBAROUX RS,non,Rose,Cuve,valide depuis le 01/01/1900,Non,,Non
9902,3309 COUDERC,non,Indetermine,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
9901,RUPESTRIS DU LOT,non,Indetermine,Multiplication,supprimé depuis le 01/01/1900,Non,,Non
6410,VIDAL DIVERS N,non,Noir,Cuve,supprimé depuis le 01/01/1900,Non,,Non
2177,ABONDANCE N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2055,BOUILLET N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
3023,FINDLING B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2297,MORRASTEL N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2175,BACHET N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2295,MORNEN N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2173,FRANC NOIR DE HAUTE-SAONE  N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
3020,DORAL B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2051,BOBAL N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2293,MONTILS B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2171,FUELLA NERA N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1081,BOUCHALES N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2291,MOLLARD N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
3019,DORNFELDER N,non,Noir,Cuve,supprimé depuis le 01/01/2016,Non,,Non
3016,CHARMONT B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2047,BLANC DAME B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2167,FEUNATE N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
6405,VIDAL DIVERS B,non,Blanc,Cuve,supprimé depuis le 01/01/1900,Non,,Non
6407,SELECT B,non,Blanc,Cuve,supprimé depuis le 01/01/1900,Non,,Non
6406,VIDAL BLANC B,non,Blanc,Cuve,valide depuis le 14/03/2018,Oui,,Non
1091,BOURBOULENC B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
6300,MALEGUE DIVERS,non,Indetermine,Cuve,supprimé depuis le 01/01/1900,Non,,Non
3035,XARELLO B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2187,GENOVESE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
3034,ARVINE B,non,Blanc,Cuve,valide depuis le 01/01/2016,Non,,Non
3033,SCHEUREBE B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2065,BOUTEILLAN NOIR N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
3032,KERNER B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2185,GASCON N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2063,CARCAJOLO NOIR N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2183,GARBESSO B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
3030,ARVINE B,non,Blanc,Cuve,supprimé depuis le 01/01/2016,Non,,Non
2181,GAMAY PRECOCE N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
3029,NEBBIOLO N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
3028,TINTA BARROCA ,non,Noir,Multiplication,valide depuis le 01/01/2016,Non,,Non
2059,BOUQUETTRAUBE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
3027,TOURIGA NACIONAL N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2057,BOUQUET B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2191,GIBERT N,non,Noir,Cuve,valide depuis le 14/03/2018,Non,,Non
5100,JURIE,non,Indetermine,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
6310,MALEGUE DIV. N,non,Noir,Cuve,supprimé depuis le 01/01/1900,Non,,Non
5101,1D10 B,non,Blanc,Cuve,valide depuis le 14/03/2018,Oui,,Non
5102,3G3 B,non,Blanc,Cuve,valide depuis le 14/03/2018,Non,,Non
5103,3B12 B,non,Blanc,Cuve,valide depuis le 14/03/2018,Oui,,Non
2077,BRUN ARGENTE N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
3045,SAPERAVI N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2075,BREGIN N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2195,GOUAIS B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2194,GORON DE BOVERNIER,non,Noir,Multiplication,valide depuis le 01/01/2016,Non,,Non
2073,EXBRAYAT N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2193,GOLDRIESLING B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
3040,PRIMITIVO N,non,Noir,Cuve,supprimé depuis le 01/01/2016,Non,,Non
2071,BRACHET N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
3039,ALVARINHO B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
3038,VERDEJO B,non,Blanc,Cuve,valide depuis le 28/04/2017,Non,,Non
3037,VERDELHO B,non,Blanc,Cuve,valide depuis le 01/01/2016,Non,,Non
3036,Xinomavro,non,Noir,Cuve,valide depuis le 29/05/2017,Non,,Non
6305,MALEGUE DIV. B,non,Blanc,Cuve,supprimé depuis le 01/01/1900,Non,,Non
2081,BRUN FOURCA N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
6320,MEYNIEU DIVERS,non,Indetermine,Cuve,supprimé depuis le 01/01/1900,Non,,Non
5110,3322-339 N,non,Noir,Cuve,valide depuis le 14/03/2018,Oui,,Non
5111,3197-81 B,non,Blanc,Cuve,valide depuis le 14/03/2018,Oui,,Non
5112,3160-27-4 N,non,Noir,Cuve,valide depuis le 18/01/2022,Oui,,Non
6321,RAVAT BLANC B,non,Blanc,Cuve,supprimé depuis le 01/01/1900,Non,,Non
6200,JOHAN.SEYVE DIV.,non,Indetermine,Cuve,supprimé depuis le 01/01/1900,Non,,Non
6687,SAINTON B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
5113,3179-90-7 N,non,Noir,Cuve,valide depuis le 18/01/2022,Oui,,Non
3057,AGIORGITIKO,non,Noir,Cuve,valide depuis le 28/04/2017,Non,,Non
2087,CAMARALET B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
3053,KADARKA N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2085,CABERNET MALBEC4 N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
5104,2E5 B,non,Blanc,Cuve,valide depuis le 14/03/2018,Oui,,Non
5105,3184-1-9 N,non,Noir,Cuve,valide depuis le 14/03/2018,Oui,,Non
5106,3176-21-11 N,non,Noir,Cuve,valide depuis le 14/03/2018,Oui,,Non
5107,3160-11-3 N,non,Noir,Cuve,valide depuis le 14/03/2018,Oui,,Non
5108,3159-2-12 B,non,Blanc,Cuve,valide depuis le 14/03/2018,Oui,,Non
5109,3196-57 B,non,Blanc,Cuve,valide depuis le 14/03/2018,Oui,,Non
2091,CAMARAOU BLANC B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
6691,RAMI B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
6210,JOHAN.SEYVE D. N,non,Noir,Cuve,supprimé depuis le 01/01/1900,Non,,Non
5000,HYBRID.DIV.CUVE,non,Indetermine,Cuve,supprimé depuis le 01/01/2016,Non,,Non
6330,MEYNIEU DIV. N,non,Noir,Cuve,supprimé depuis le 01/01/1900,Non,,Non
5001,ALICANTE TERR.20 N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
5003,AUXERROIS RUPES N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
5004,BRONNER,non,Blanc,Cuve,valide depuis le 02/05/2017,Non,,Non
5125,CHENIVESSE N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2097,CARCAJOLO BLANC B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2095,CANARI N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
3061,RODITIS,non,Gris,Cuve,valide depuis le 28/04/2017,Non,,Non
2093,CAMARAOU NOIR N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
3059,MOSCHOFILERO,non,Rose,Cuve,valide depuis le 28/04/2017,Non,,Non
5115,GAULOIS N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
6205,JOHAN.SEYVE D. B,non,Blanc,Cuve,supprimé depuis le 01/01/1900,Non,,Non
6325,MEYNIEU DIV. B,non,Blanc,Cuve,supprimé depuis le 01/01/1900,Non,,Non
5117,CYNTHIANA N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
6340,OBERLIN DIVERS,non,Indetermine,Cuve,supprimé depuis le 01/01/2016,Non,,Non
5130,SAUVIGNAC,non,Blanc,Cuve,valide depuis le 03/04/2020,Non,,Non
5010,HYBRID.CUVE B,non,Blanc,Cuve,supprimé depuis le 01/01/1900,Non,,Non
6100,COUDERC DIVERS,non,Indetermine,Cuve,supprimé depuis le 01/01/1900,Non,,Non
6341,OBERLIN N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
5011,BOGNI 15 B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
6220,KUHLMANN DIVERS,non,Indetermine,Cuve,supprimé depuis le 01/01/1900,Non,,Non
5133,FLEURTAI,non,Blanc,Cuve,valide depuis le 03/04/2020,Non,,Non
5012,Soreli,non,Blanc,Cuve,valide depuis le 02/05/2017,Non,,Non
5134,UD 31-125,non,Rouge,Cuve,valide depuis le 03/04/2020,Non,,Non
5013,IJ 58 N,non,Noir,Cuve,valide depuis le 02/05/2017,Oui,,Non
5135,SIRANO,non,Rouge,Cuve,valide depuis le 03/04/2020,Non,,Non
5014,IJ 134 N,non,Noir,Cuve,valide depuis le 02/05/2017,Oui,,Non
6225,KUHLMANN DIV. B,non,Blanc,Cuve,supprimé depuis le 01/01/1900,Non,,Non
5136,COL 1382L,non,Rouge,Cuve,valide depuis le 03/04/2020,Oui,,Non
5015,CHAMBAUDIERE 442 N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
6345,OBERLIN DIV. B,non,Blanc,Cuve,supprimé depuis le 01/01/1900,Non,,Non
3075,FETEASCA NEAGRA N,non,Noir,Multiplication,valide depuis le 01/01/2016,Non,,Non
5005,DIVICO N,non,Noir,Cuve,valide depuis le 29/03/2019,Non,variÃÂÃÂ©tÃÂÃÂ© du canton de GenÃÂÃÂ¨ve en Suisse,Oui
5006,Cabernet Blanc,non,Blanc,Cuve,valide depuis le 02/05/2017,Non,,Non
6215,CHAMBOURCIN N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
5007,BLACK DEFIANCE N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
5008,PINOTIN,non,Noir,Cuve,valide depuis le 02/05/2017,Non,,Non
5009,SAPHIRA,non,Blanc,Cuve,valide depuis le 02/05/2017,Non,,Non
5140,LILARO,non,Rouge,Cuve,valide depuis le 03/04/2020,Non,,Non
6230,KUHLMANN DIV. N,non,Noir,Cuve,supprimé depuis le 01/01/1900,Non,,Non
3082,GAMARET N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
6350,OBERLIN DIV. N,non,Noir,Cuve,supprimé depuis le 01/01/1900,Non,,Non
5141,COL 2854K,non,Rouge,Cuve,valide depuis le 03/04/2020,Oui,,Non
5020,HYBRID.CUVE N,non,Noir,Cuve,supprimé depuis le 01/01/1900,Non,,Non
5021,CUNNINGHAM RS,non,Rose,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
5143,SELENOR,non,Blanc,Cuve,valide depuis le 28/06/2022,Non,,Non
6110,COUDERC DIV B,non,Blanc,Cuve,supprimé depuis le 01/01/1900,Non,,Non
5022,FLOREAL B,non,Blanc,Cuve,valide depuis le 14/03/2018,Non,,Non
5023,VOLTIS B,non,Blanc,Cuve,valide depuis le 14/03/2018,Non,,Non
6233,LEON MILLOT N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
5024,ARTABAN N,non,Noir,Cuve,valide depuis le 14/03/2018,Non,,Non
5025,VIDOC N,non,Noir,Cuve,valide depuis le 14/03/2018,Non,,Non
3084,DIOLINOIR N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
3083,GARANOIR N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
5016,Col-2007G B,non,Blanc,Cuve,valide depuis le 02/05/2017,Oui,,Non
5137,COL 2884L,non,Rouge,Cuve,valide depuis le 03/04/2020,Oui,,Non
6227,MARECHAL FOCH N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
5017,CONCORD N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
5138,OPALOR,non,Blanc,Cuve,valide depuis le 03/04/2020,Non,,Non
804,PERDIN B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
5018,CALARDIS BLANC,non,Blanc,Cuve,valide depuis le 18/01/2022,Oui,,Non
5139,COLIRIS,non,Rouge,Cuve,valide depuis le 03/04/2020,Non,,Non
805,ALVAL N,non,Noir,Table,supprimé depuis le 01/01/1900,Non,,Non
802,AMANDIN B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
803,CANDIN B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
801,ALADIN N,non,Noir,Table,supprimé depuis le 01/01/1900,Non,,Non
6120,COUDERC DIV N,non,Noir,Cuve,supprimé depuis le 01/01/1900,Non,,Non
9993,JACQUEZ N,non,Noir,Interdit,valide depuis le 01/01/1900,Non,,Non
5031,FAUCONNEAU 1 N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
9994,CLINTON N,non,Noir,Interdit,valide depuis le 01/01/1900,Non,,Non
6001,BACO NOIR N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
9991,OTHELLO N,non,Noir,Interdit,valide depuis le 01/01/1900,Non,,Non
3090,CORNALIN N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
5033,HUMBERT CHAPON 3 N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
6000,BACO DIVERS,non,Indetermine,Cuve,supprimé depuis le 01/01/1900,Non,,Non
9992,ISABELLE N,non,Noir,Interdit,valide depuis le 01/01/1900,Non,,Non
6003,BACO DIVERS N,non,Noir,Cuve,supprimé depuis le 01/01/1900,Non,,Non
6365,PERRATON DIV. B,non,Blanc,Cuve,supprimé depuis le 01/01/1900,Non,,Non
5035,HYBRIDE BOIZIAU N,non,Noir,Cuve,supprimé depuis le 01/01/1900,Non,,Non
9998,PLANTER NON GREFFE,non,Blanc,Cuve,valide depuis le 01/01/2016,Non,code à utiliser pour les plantations de raçinés,Non
9995,HERBEMONT N,non,Noir,Interdit,valide depuis le 01/01/1900,Non,,Non
6005,BACO BLANC B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
9990,NOAH B,non,Blanc,Interdit,valide depuis le 01/01/1900,Non,,Non
6360,PERRATON DIVERS,non,Indetermine,Cuve,supprimé depuis le 01/01/1900,Non,,Non
5027,EXCELSIOR GUILLY B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
813,CHICHAUD,non,Noir,Cuve,valide depuis le 12/02/2021,Non,,Non
814,DOUSSET,non,Noir,Cuve,valide depuis le 12/02/2021,Non,,Non
5041,JOUSSELY 2 N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
6131,COUDERC NOIR N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
6010,BACO DIVERS B,non,Blanc,Cuve,supprimé depuis le 01/01/1900,Non,,Non
5045,PERBOS 48 B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
709,DABOUKI B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
5047,3 RUDELIN B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
6370,PERRATON DIV. N,non,Noir,Cuve,supprimé depuis le 01/01/1900,Non,,Non
700,DIVERS TABLE,non,Indetermine,Table,supprimé depuis le 01/01/1900,Non,,Non
707,CARDINAL RG,non,Rouge,Mixte,valide depuis le 01/01/2016,Non,délimitation départementale ajoutée,Oui
708,CENTENNIAL SEEDL B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
9999,CEPAGE INCONNU,non,Indetermine,Mixte,supprimé depuis le 01/01/2016,Non,,Non
705,MAD.ANGE.OBERLIN B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
703,ALPHONSE LAVALLEE N,non,Noir,Mixte,valide depuis le 01/01/2016,Non,délimitation départementale ajoutée,Oui
704,ATTIKI N,non,Noir,Table,supprimé depuis le 01/01/1900,Non,,Non
701,ADMIRABLE COURT B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
5053,YORK MADEIRA N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
6020,BERTIL.SEYVE D.,non,Indetermine,Cuve,supprimé depuis le 01/01/1900,Non,,Non
6265,LANDAL N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
6385,RAVAT DIVERS B,non,Blanc,Cuve,supprimé depuis le 01/01/1900,Non,,Non
5055,FONTAN N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
6025,BERTIL.SEYVE D B,non,Blanc,Cuve,supprimé depuis le 01/01/1900,Non,,Non
6145,GAILLARD DIV B,non,Blanc,Cuve,supprimé depuis le 01/01/1900,Non,,Non
7115,COLOBEL N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
6380,RAVAT DIVERS,non,Indetermine,Cuve,supprimé depuis le 01/01/1900,Non,,Non
6140,GAILLARD DIVERS,non,Indetermine,Cuve,supprimé depuis le 01/01/1900,Non,,Non
6260,LANDOT DIVERS,non,Indetermine,Cuve,supprimé depuis le 01/01/1900,Non,,Non
6381,RAVAT BLANC B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
711,DATTIER BEYROUTH B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
719,MADEL.ANGEVINE B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
